Title,Author,Nonfiction,Recs
The Story of Eames Furniture,Marlyn Neuhard,1,0
The Geometry of Hand-sewing,Natalie Chanin,1,0
The Lost Art of Finding Our Way,John Edward Huth,1,0
Spacelab,Douglas R. Lord,1,0
Cool Tools,Kevin Kelly,1,0
Appetites: A Cookbook,Anthony Bourdain,1,0
What is Research In the Visual Arts,Michael Ann Holly,1,0
Men Explain Things to Me,Rebecca Solnit,1,0
How to Make Books,Esther K. Smith,1,0
Long Walk to Freedom,Nelson Mandela,1,0
Why Are All the Black Kids Sitting Together in the Cafeteria,"Beverly Daniel Tatum, Ph.D",1,0
Sound,Caleb Kelly,1,0
Wabi-Sabi,Leonard Koren,1,0
We Shall Overcome,Herb Boyd,1,0
